Date,Adj Close,daily_ret,,,
12/1/11,52.71,0,,,
12/2/11,52.95,0.004553216,,,
12/5/11,53.4,0.008498584,,Ave. daily return,0.002215333
12/6/11,53.12,-0.005243446,,STD daily return,0.01122269
12/7/11,52.87,-0.004706325,,,
12/8/11,53.08,0.003972007,,Sharpe,3.121131532
12/9/11,53.48,0.007535795,,,
12/12/11,53.24,-0.004487659,,,
12/13/11,52.83,-0.007700977,,,
12/14/11,51.66,-0.022146508,,,
12/15/11,51.49,-0.003290747,,,
12/16/11,51.77,0.005437949,,,
12/19/11,51.93,0.003090593,,,
12/20/11,53.8,0.036010013,,,
12/21/11,53.87,0.001301115,,,
12/22/11,54.15,0.005197698,,,
12/23/11,54.8,0.012003693,,,
12/27/11,55.23,0.007846715,,,
12/28/11,54.71,-0.009415173,,,
12/29/11,55.04,0.006031804,,,
12/30/11,55.03,-0.000181686,,,
